Country,Year,PopulationInflow,NationalIncome
Australia,2000,107148.0,33881.8326
Austria,2000,65954.0,36998.0949
Belgium,2000,57295.0,36319.1538
Canada,2000,227455.0,34851.0843
Chile,2000,18741.0,16080.0874
Czech Republic,2000,4227.0,18131.9927
Denmark,2000,22766.0,37863.0963
Estonia,2000,0.0,14196.6001
Finland,2000,9110.0,31516.386000000002
France,2000,91875.0,35010.5312
Germany,2000,648846.0,33027.8562
Greece,2000,0.0,26677.1669
Hungary,2000,20184.0,13380.2036
Iceland,2000,2462.0,37438.8617
Ireland,2000,27800.0,35410.5853
Israel,2000,60201.0,30897.3304
Italy,2000,192557.0,32612.5858
Japan,2000,345779.0,25340.4945
Korea,2000,173071.0,19202.8115
Latvia,2000,1627.0,9048.944
Luxembourg,2000,10792.0,76473.9621
Mexico,2000,6414.0,19712.1034
Netherlands,2000,91383.0,40230.4263
New Zealand,2000,37457.0,25953.8449
Norway,2000,27785.0,37042.3705
Poland,2000,15897.0,14173.1554
Portugal,2000,15932.0,24278.2301
Slovak Republic,2000,4622.0,0.0
Slovenia,2000,0.0,20335.3767
Spain,2000,330881.0,27048.2196
Sweden,2000,42216.0,30658.3032
Switzerland,2000,87448.0,46054.1955
Turkey,2000,0.0,16256.3521
United Kingdom,2000,260424.0,29883.2063
United States,2000,841002.0,45885.1393
Australia,2001,127877.0,33926.537000000004
Austria,2001,74786.0,37037.8233
Belgium,2001,65974.0,36159.4248
Canada,2001,250640.0,34620.0227
Chile,2001,28924.0,16317.4504
Czech Republic,2001,11323.0,18521.7537
Denmark,2001,24642.0,38177.2271
Estonia,2001,0.0,14861.9909
Finland,2001,11037.0,32089.304
France,2001,106877.0,35242.6175
Germany,2001,685259.0,33279.9121
Greece,2001,0.0,27494.6112
Hungary,2001,20308.0,13998.4505
Iceland,2001,2515.0,38030.3585
Ireland,2001,32700.0,35455.5243
Israel,2001,43473.0,31148.3982
Italy,2001,172836.0,33155.2572
Japan,2001,351187.0,25305.2456
Korea,2001,163898.0,19542.021
Latvia,2001,0.0,10069.808
Luxembourg,2001,11055.0,78461.7721
Mexico,2001,8053.0,19343.0916
Netherlands,2001,94507.0,40177.7621
New Zealand,2001,85965.0,27282.5392
Norway,2001,25412.0,37583.3957
Poland,2001,21466.0,14165.4259
Portugal,2001,151433.0,24271.7924
Slovak Republic,2001,4723.0,0.0
Slovenia,2001,0.0,20990.8673
Spain,2001,394048.0,27458.506
Sweden,2001,43833.0,31130.4773
Switzerland,2001,101353.0,45279.2302
Turkey,2001,0.0,14403.2332
United Kingdom,2001,262239.0,30821.5163
United States,2001,1058902.0,45635.9563
Australia,2002,119080.0,34877.9384
Austria,2002,86144.0,37641.9365
Belgium,2002,70230.0,36431.5866
Canada,2002,228919.0,35232.0541
Chile,2002,29942.0,16572.1298
Czech Republic,2002,43648.0,18730.8666
Denmark,2002,21485.0,38553.0234
Estonia,2002,0.0,15907.5678
Finland,2002,9972.0,33050.2044
France,2002,124232.0,34900.3163
Germany,2002,658341.0,32988.0119
Greece,2002,0.0,28528.5615
Hungary,2002,17972.0,15282.0855
Iceland,2002,1855.0,39119.5767
Ireland,2002,39900.0,35604.5859
Israel,2002,33570.0,30438.6705
Italy,2002,161914.0,32985.5066
Japan,2002,343811.0,25210.0207
Korea,2002,158941.0,20635.317
Latvia,2002,0.0,10959.1321
Luxembourg,2002,10988.0,85601.8036
Mexico,2002,5828.0,18301.2687
Netherlands,2002,86619.0,40058.4746
New Zealand,2002,102337.0,27540.4666
Norway,2002,30788.0,37058.5099
Poland,2002,30243.0,14298.2661
Portugal,2002,71974.0,24347.1518
Slovak Republic,2002,4784.0,0.0
Slovenia,2002,0.0,21525.2632
Spain,2002,443085.0,27537.8641
Sweden,2002,47603.0,31627.2338
Switzerland,2002,101876.0,43855.687000000005
Turkey,2002,0.0,15366.4121
United Kingdom,2002,288770.0,31404.298
United States,2002,1059356.0,45725.8977
Australia,2003,123411.0,35372.5526
Austria,2003,93341.0,37740.1874
Belgium,2003,68800.0,36371.7463
Canada,2003,221349.0,35483.226
Chile,2003,29835.0,16678.8363
Czech Republic,2003,57438.0,19403.8608
Denmark,2003,18385.0,38849.1072
Estonia,2003,0.0,17008.6048
Finland,2003,9432.0,33349.2915
France,2003,136370.0,34975.5619
Germany,2003,601759.0,32926.3552
Greece,2003,0.0,29414.6042
Hungary,2003,19365.0,16156.0058
Iceland,2003,1353.0,38889.9026
Ireland,2003,42400.0,36260.1997
Israel,2003,23273.0,29790.1335
Italy,2003,424856.0,32611.3127
Japan,2003,373918.0,25545.2005
Korea,2003,168875.0,20794.1676
Latvia,2003,0.0,11974.1339
Luxembourg,2003,12554.0,87763.7382
Mexico,2003,6945.0,17510.5443
Netherlands,2003,73566.0,40739.2109
New Zealand,2003,86011.0,28686.8604
Norway,2003,26787.0,37604.586
Poland,2003,30325.0,14503.2618
Portugal,2003,31754.0,23937.5349
Slovak Republic,2003,4562.0,0.0
Slovenia,2003,0.0,21991.2143
Spain,2003,429524.0,27908.4714
Sweden,2003,47988.0,32785.4447
Switzerland,2003,94049.0,44714.7861
Turkey,2003,0.0,16039.3328
United Kingdom,2003,327405.0,32233.3757
United States,2003,703542.0,46448.9043
Australia,2004,146441.0,36473.0165
Austria,2004,104246.0,38585.183
Belgium,2004,72446.0,37237.9438
Canada,2004,235822.0,36343.3445
Chile,2004,32099.0,17114.8762
Czech Republic,2004,50804.0,20091.058999999997
Denmark,2004,18706.0,40571.2996
Estonia,2004,759.0,18166.6568
Finland,2004,11511.0,34986.461
France,2004,141554.0,35680.6341
Germany,2004,602182.0,33833.5626
Greece,2004,0.0,30564.9679
Hungary,2004,22164.0,16617.1669
Iceland,2004,2512.0,40423.4927
Ireland,2004,41800.0,38459.18
Israel,2004,20899.0,30783.8065
Italy,2004,394756.0,32898.1911
Japan,2004,371983.0,26081.7373
Korea,2004,178530.0,21437.4749
Latvia,2004,0.0,12974.1231
Luxembourg,2004,12245.0,92156.2657
Mexico,2004,8513.0,17751.5842
Netherlands,2004,65121.0,41149.1936
New Zealand,2004,71647.0,29069.1741
Norway,2004,27864.0,41011.117
Poland,2004,36851.0,14815.5246
Portugal,2004,34096.0,24103.5276
Slovak Republic,2004,7919.0,0.0
Slovenia,2004,0.0,22661.2463
Spain,2004,645844.0,28080.3373
Sweden,2004,47580.0,33706.2937
Switzerland,2004,96270.0,45010.5007
Turkey,2004,0.0,17266.478
United Kingdom,2004,434322.0,33059.733
United States,2004,957883.0,47902.3655
Australia,2005,161734.0,36735.6549
Austria,2005,97995.0,39233.8626
Belgium,2005,77411.0,37778.4578
Canada,2005,262244.0,37082.1483
Chile,2005,40793.0,17740.0317
Czech Republic,2005,58576.0,21396.5338
Denmark,2005,20146.0,42620.195999999996
Estonia,2005,981.0,20420.1738
Finland,2005,12744.0,35555.7235
France,2005,135866.0,36111.5432
Germany,2005,579301.0,34076.6027
Greece,2005,65318.0,29977.6729
Hungary,2005,25582.0,17129.0783
Iceland,2005,4680.0,42598.4709
Ireland,2005,66100.0,40060.0758
Israel,2005,21183.0,31900.4991
Italy,2005,282780.0,32996.0099
Japan,2005,372329.0,26374.7302
Korea,2005,253729.0,21965.037999999997
Latvia,2005,1886.0,14780.2231
Luxembourg,2005,13759.0,91875.07800000001
Mexico,2005,9172.0,17848.2992
Netherlands,2005,63415.0,40638.4148
New Zealand,2005,73296.0,28874.4349
Norway,2005,31355.0,45617.4837
Poland,2005,38512.0,15454.358
Portugal,2005,28092.0,24403.7029
Slovak Republic,2005,7665.0,0.0
Slovenia,2005,0.0,23452.6237
Spain,2005,682711.0,28578.7481
Sweden,2005,51297.0,35030.2204
Switzerland,2005,94357.0,46517.4298
Turkey,2005,0.0,18543.9121
United Kingdom,2005,405111.0,33507.753
United States,2005,1122257.0,49008.7579
Australia,2006,176205.0,37030.4842
Austria,2006,82899.0,40557.0873
Belgium,2006,83433.0,38404.4578
Canada,2006,251641.0,37995.9538
Chile,2006,37035.0,17686.6836
Czech Republic,2006,66125.0,22359.8321
Denmark,2006,23979.0,44459.9696
Estonia,2006,1488.0,22165.4801
Finland,2006,13868.0,37000.0649
France,2006,228693.0,36826.0922
Germany,2006,558467.0,35680.7447
Greece,2006,63216.0,31262.556
Hungary,2006,23569.0,17686.7606
Iceland,2006,7070.0,42744.9124
Ireland,2006,88900.0,40941.12
Israel,2006,19269.0,33121.3554
Italy,2006,254588.0,33577.2995
Japan,2006,325621.0,26890.8694
Korea,2006,302963.0,22983.371
Latvia,2006,2801.0,16161.392
Luxembourg,2006,13731.0,126228.6275
Mexico,2006,6874.0,18381.6766
Netherlands,2006,67657.0,42812.9639
New Zealand,2006,80184.0,29088.3793
Norway,2006,37425.0,48364.7558
Poland,2006,34210.0,16258.7997
Portugal,2006,22457.0,24266.112
Slovak Republic,2006,4287.0,0.0
Slovenia,2006,0.0,24614.1796
Spain,2006,802971.0,29045.5541
Sweden,2006,80398.0,36828.3493
Switzerland,2006,102657.0,47879.5865
Turkey,2006,0.0,19378.0069
United Kingdom,2006,451702.0,33922.501000000004
United States,2006,1266129.0,50292.3377
Australia,2007,189490.0,37447.391
Austria,2007,91546.0,41796.3893
Belgium,2007,93387.0,39410.3136
Canada,2007,236751.0,38110.0312
Chile,2007,53071.0,18447.7046
Czech Republic,2007,102511.0,23308.9151
Denmark,2007,31430.0,43909.2948
Estonia,2007,1952.0,23469.0498
Finland,2007,17504.0,38392.98
France,2007,145876.0,37256.0535
Germany,2007,574752.0,36473.6544
Greece,2007,46333.0,31968.0496
Hungary,2007,22607.0,17074.0206
Iceland,2007,9318.0,46701.6093
Ireland,2007,120400.0,42027.5603
Israel,2007,18131.0,33991.6605
Italy,2007,515201.0,33781.2124
Japan,2007,336646.0,27342.7166
Korea,2007,300360.0,24148.4659
Latvia,2007,3541.0,18049.4184
Luxembourg,2007,15766.0,135365.9652
Mexico,2007,7186.0,18536.9956
Netherlands,2007,80258.0,44053.9706
New Zealand,2007,83984.0,30101.7792
Norway,2007,53498.0,50009.4427
Poland,2007,40637.0,17180.2114
Portugal,2007,32599.0,24800.6969
Slovak Republic,2007,7207.0,0.0
Slovenia,2007,27504.0,25982.6995
Spain,2007,920534.0,29169.5513
Sweden,2007,83536.0,38525.4278
Switzerland,2007,139685.0,46812.9574
Turkey,2007,0.0,19887.9417
United Kingdom,2007,455000.0,34208.8697
United States,2007,1052415.0,49864.6905
Australia,2008,203874.0,38125.3601
Austria,2008,94368.0,42384.3134
Belgium,2008,106012.0,39234.6954
Canada,2008,247242.0,37584.0176
Chile,2008,43577.0,19762.2187
Czech Republic,2008,76151.0,23498.4782
Denmark,2008,37018.0,43444.6989
Estonia,2008,1929.0,22361.0155
Finland,2008,19906.0,38353.2679
France,2008,146964.0,36644.0433
Germany,2008,573815.0,36530.367
Greece,2008,42901.0,31473.9618
Hungary,2008,35547.0,17169.1803
Iceland,2008,7471.0,36255.9065
Ireland,2008,89700.0,40597.782
Israel,2008,13701.0,33782.7145
Italy,2008,496549.0,32552.0061
Japan,2008,344509.0,26878.8105
Korea,2008,302174.0,24290.6855
Latvia,2008,3465.0,17828.8031
Luxembourg,2008,16803.0,108114.3785
Mexico,2008,15913.0,18353.4786
Netherlands,2008,103356.0,43436.2319
New Zealand,2008,90072.0,28693.826
Norway,2008,58820.0,53219.1406
Poland,2008,41834.0,18250.168999999998
Portugal,2008,72826.0,24503.8035
Slovak Republic,2008,7415.0,0.0
Slovenia,2008,28062.0,26508.5712
Spain,2008,567372.0,28676.4463
Sweden,2008,83318.0,37574.7752
Switzerland,2008,157271.0,45008.1948
Turkey,2008,0.0,19563.7818
United Kingdom,2008,456000.0,35099.4691
United States,2008,1107126.0,48526.1387
Australia,2009,219400.0,37806.0293
Austria,2009,91660.0,39684.6448
Belgium,2009,102714.0,37480.5572
Canada,2009,252170.0,35658.0497
Chile,2009,35892.0,19017.3117
Czech Republic,2009,38199.0,21666.8244
Denmark,2009,31957.0,40911.8736
Estonia,2009,2229.0,18980.2864
Finland,2009,18087.0,34989.8673
France,2009,149603.0,35190.6847
Germany,2009,606314.0,34314.02
Greece,2009,46534.0,30337.8788
Hungary,2009,25582.0,16105.8774
Iceland,2009,3392.0,33095.5397
Ireland,2009,50700.0,37493.4041
Israel,2009,14574.0,32949.8124
Italy,2009,406725.0,30459.0876
Japan,2009,297092.0,24944.7907
Korea,2009,232844.0,23785.4834
Latvia,2009,2688.0,16700.5626
Luxembourg,2009,14635.0,113281.9788
Mexico,2009,23852.0,17058.3492
Netherlands,2009,104410.0,41971.3345
New Zealand,2009,75657.0,29479.7483
Norway,2009,56682.0,47850.6204
Poland,2009,41277.0,18469.4725
Portugal,2009,61445.0,23486.8931
Slovak Republic,2009,5141.0,0.0
Slovenia,2009,27393.0,24187.5905
Spain,2009,365367.0,27358.0394
Sweden,2009,83763.0,35251.7477
Switzerland,2009,132444.0,46616.3337
Turkey,2009,0.0,17938.9559
United Kingdom,2009,430000.0,35400.0672
United States,2009,1130818.0,46233.272000000004
Australia,2010,202212.0,37813.3845
Austria,2010,96896.0,40553.4587
Belgium,2010,113582.0,38239.0607
Canada,2010,280686.0,36313.2679
Chile,2010,41431.0,19631.7359
Czech Republic,2010,28046.0,21974.4551
Denmark,2010,33442.0,42403.0594
Estonia,2010,1199.0,19084.4684
Finland,2010,18212.0,36413.3557
France,2010,145831.0,35771.8007
Germany,2010,683529.0,35455.1546
Greece,2010,33368.0,27261.5293
Hungary,2010,23884.0,15755.3209
Iceland,2010,2988.0,32846.5818
Ireland,2010,23900.0,36804.5226
Israel,2010,16633.0,34512.3815
Italy,2010,424499.0,30855.243
Japan,2010,287071.0,26034.7431
Korea,2010,293070.0,25100.8868
Latvia,2010,2790.0,14612.3667
Luxembourg,2010,15814.0,139291.8354
Mexico,2010,26180.0,17745.7039
Netherlands,2010,110235.0,43202.6423
New Zealand,2010,69686.0,29166.2949
Norway,2010,65065.0,49978.2196
Poland,2010,41061.0,18925.6352
Portugal,2010,50747.0,23890.5772
Slovak Republic,2010,4161.0,0.0
Slovenia,2010,12705.0,24440.5604
Spain,2010,330286.0,27778.4763
Sweden,2010,79036.0,37364.0485
Switzerland,2010,134171.0,49329.6785
Turkey,2010,29905.0,19464.4522
United Kingdom,2010,459000.0,32577.2901
United States,2010,1042625.0,47538.2022
Australia,2011,206362.0,37954.0887
Austria,2011,109921.0,41225.8638
Belgium,2011,117948.0,37865.3377
Canada,2011,248701.0,36547.2956
Chile,2011,50651.0,20727.5695
Czech Republic,2011,20673.0,22329.2801
Denmark,2011,34572.0,42502.3492
Estonia,2011,1675.0,20906.4857
Finland,2011,20416.0,36840.8841
France,2011,142125.0,35862.5882
Germany,2011,841695.0,36294.4039
Greece,2011,23206.0,23748.7249
Hungary,2011,22514.0,15760.538999999999
Iceland,2011,2754.0,35077.2182
Ireland,2011,33700.0,35151.979
Israel,2011,16892.0,35457.0863
Italy,2011,354327.0,30648.0412
Japan,2011,266867.0,26672.8258
Korea,2011,307249.0,25737.4717
Latvia,2011,2861.0,15614.9295
Luxembourg,2011,19108.0,126818.9871
Mexico,2011,21992.0,18049.3114
Netherlands,2011,118457.0,44185.3137
New Zealand,2011,71358.0,29942.0672
Norway,2011,70759.0,52355.3343
Poland,2011,41336.0,19907.855
Portugal,2011,45369.0,23682.045
Slovak Republic,2011,3751.0,0.0
Slovenia,2011,10765.0,24474.7828
Spain,2011,335893.0,27639.4841
Sweden,2011,75852.0,37845.5734
Switzerland,2011,142471.0,48059.0095
Turkey,2011,0.0,21338.3469
United Kingdom,2011,453000.0,32860.8338
United States,2011,1062040.0,48220.565
Australia,2012,235993.0,38123.2109
Austria,2012,125605.0,40878.2638
Belgium,2012,128948.0,38732.7431
Canada,2012,257763.0,37208.0902
Chile,2012,65247.0,21804.1082
Czech Republic,2012,28607.0,22394.5532
Denmark,2012,35490.0,42273.6276
Estonia,2012,1107.0,21791.6432
Finland,2012,23334.0,35846.918
France,2012,151599.0,35330.6567
Germany,2012,965908.0,36458.4341
Greece,2012,17732.0,22240.9605
Hungary,2012,20340.0,15302.8926
Iceland,2012,2827.0,36514.4808
Ireland,2012,37200.0,35363.5326
Israel,2012,16558.0,35079.4403
Italy,2012,321305.0,29250.4636
Japan,2012,303926.0,27234.9668
Korea,2012,300177.0,25951.4379
Latvia,2012,3666.0,16172.9732
Luxembourg,2012,19439.0,126035.6786
Mexico,2012,18153.0,18325.433999999997
Netherlands,2012,115678.0,43572.3791
New Zealand,2012,71640.0,29961.77
Norway,2012,70012.0,52899.0782
Poland,2012,47131.0,20060.7589
Portugal,2012,38537.0,22483.4894
Slovak Republic,2012,2940.0,0.0
Slovenia,2012,12281.0,23461.2733
Spain,2012,272489.0,26915.1101
Sweden,2012,82597.0,37763.4037
Switzerland,2012,143783.0,48122.7642
Turkey,2012,0.0,21844.6983
United Kingdom,2012,383000.0,31987.1844
United States,2012,1031631.0,49273.2621
Australia,2013,244849.0,38691.2338
Austria,2013,135228.0,40443.2985
Belgium,2013,117595.0,38798.5303
Canada,2013,259034.0,37646.1877
Chile,2013,84352.0,22349.946
Czech Republic,2013,27843.0,22198.1341
Denmark,2013,41342.0,42949.7272
Estonia,2013,1633.0,22495.7782
Finland,2013,23873.0,35305.4042
France,2013,251299.0,35405.9971
Germany,2013,1108068.0,36489.1656
Greece,2013,31302.0,21283.6416
Hungary,2013,21250.0,16172.1917
Iceland,2013,3932.0,42107.9292
Ireland,2013,41000.0,34020.8753
Israel,2013,16884.0,37003.2361
Italy,2013,279021.0,28486.0555
Japan,2013,306742.0,27999.7512
Korea,2013,360473.0,26311.6775
Latvia,2013,3525.0,16899.8741
Luxembourg,2013,19797.0,102783.2424
Mexico,2013,62990.0,18087.7827
Netherlands,2013,122321.0,43159.3145
New Zealand,2013,77191.0,31340.6666
Norway,2013,66934.0,52574.6204
Poland,2013,46614.0,20271.6751
Portugal,2013,33246.0,22779.3729
Slovak Republic,2013,2475.0,0.0
Slovenia,2013,11621.0,23173.9556
Spain,2013,248350.0,26743.1289
Sweden,2013,95361.0,39001.8456
Switzerland,2013,155401.0,48217.7419
Turkey,2013,0.0,23341.1246
United Kingdom,2013,406000.0,32496.4122
United States,2013,990553.0,49273.6168
Australia,2014,233908.0,38435.7596
Austria,2014,154260.0,40210.7899
Belgium,2014,106345.0,39083.2363
Canada,2014,260283.0,38226.7187
Chile,2014,83549.0,22467.7535
Czech Republic,2014,38490.0,22596.7875
Denmark,2014,49039.0,44017.6081
Estonia,2014,1347.0,23229.9756
Finland,2014,23647.0,35229.4693
France,2014,251767.0,35541.7993
Germany,2014,1342529.0,37081.0122
Greece,2014,29510.0,21998.6981
Hungary,2014,26004.0,17346.1226
Iceland,2014,4348.0,42673.005999999994
Ireland,2014,43700.0,36353.9375
Israel,2014,24112.0,37996.3675
Italy,2014,248360.0,28473.8547
Japan,2014,336525.0,28271.5745
Korea,2014,407063.0,26750.4334
Latvia,2014,4501.0,17432.6107
Luxembourg,2014,21024.0,103298.3889
Mexico,2014,43481.0,18387.3116
Netherlands,2014,139348.0,42612.822
New Zealand,2014,91692.0,31606.2065
Norway,2014,61429.0,53876.1915
Poland,2014,31977.0,20784.411
Portugal,2014,35265.0,22814.9698
Slovak Republic,2014,2418.0,0.0
Slovenia,2014,11311.0,24006.4499
Spain,2014,264485.0,27309.593999999997
Sweden,2014,106100.0,40494.6077
Switzerland,2014,152106.0,48219.2376
Turkey,2014,0.0,23927.0363
United Kingdom,2014,504000.0,32739.6738
United States,2014,1016518.0,50209.0639
Australia,2015,223654.0,37669.528
Austria,2015,198658.0,39700.4617
Belgium,2015,128762.0,39406.5039
Canada,2015,271808.0,37658.7641
Chile,2015,101911.0,22637.2697
Czech Republic,2015,31589.0,24037.7187
Denmark,2015,58695.0,44131.8519
Estonia,2015,7370.0,23713.8255
Finland,2015,21414.0,35194.9912
France,2015,242707.0,35794.6397
Germany,2015,2016241.0,37679.5481
Greece,2015,33986.0,22044.6004
Hungary,2015,25787.0,18297.4666
Iceland,2015,4963.0,45130.1579
Ireland,2015,49300.0,36621.4581
Israel,2015,27908.0,38083.8602
Italy,2015,250465.0,28380.2797
Japan,2015,391160.0,28765.4844
Korea,2015,372935.0,27237.4074
Latvia,2015,4505.0,18280.1851
Luxembourg,2015,22608.0,103463.3534
Mexico,2015,34406.0,18419.1743
Netherlands,2015,159483.0,43213.157
New Zealand,2015,102859.0,32891.465
Norway,2015,59068.0,54310.8168
Poland,2015,86087.0,21522.7821
Portugal,2015,37851.0,23196.4375
Slovak Republic,2015,3774.0,0.0
Slovenia,2015,12665.0,23851.3836
Spain,2015,290005.0,28712.4344
Sweden,2015,113868.0,41246.7272
Switzerland,2015,150432.0,49063.3173
Turkey,2015,0.0,24764.4729
United Kingdom,2015,481000.0,33396.7419
United States,2015,1051031.0,50707.5717
Australia,2016,218488.0,38259.9032
Austria,2016,158746.0,40594.7688
Belgium,2016,103187.0,39444.1364
Canada,2016,296385.0,37627.7977
Chile,2016,135490.0,22575.2049
Czech Republic,2016,34808.0,24741.9664
Denmark,2016,54641.0,45097.669
Estonia,2016,7693.0,24411.0928
Finland,2016,27274.0,35904.1599
France,2016,245663.0,35927.5989
Germany,2016,1719075.0,38438.0425
Greece,2016,86120.0,22028.6621
Hungary,2016,23803.0,19261.6565
Iceland,2016,7859.0,49042.3641
Ireland,2016,53900.0,38007.4002
Israel,2016,25977.0,39034.2703
Italy,2016,262929.0,29034.456000000002
Japan,2016,427585.0,28864.0702
Korea,2016,402203.0,27667.0601
Latvia,2016,3448.0,19021.2409
Luxembourg,2016,21557.0,99556.1394
Mexico,2016,35906.0,18444.0986
Netherlands,2016,182160.0,42987.4535
New Zealand,2016,105599.0,34212.3976
Norway,2016,58508.0,53955.8052
Poland,2016,107038.0,22041.5619
Portugal,2016,46921.0,23709.5632
Slovak Republic,2016,3610.0,0.0
Slovenia,2016,13760.0,24849.2235
Spain,2016,352174.0,29615.1336
Sweden,2016,142986.0,41851.9708
Switzerland,2016,143100.0,48696.6187
Turkey,2016,273869.0,24872.9422
United Kingdom,2016,455000.0,33572.7274
United States,2016,1183505.0,51373.4075
Australia,2017,224220.0,38583.4848
Austria,2017,139329.0,40795.3645
Belgium,2017,109515.0,40111.8574
Canada,2017,286485.0,38739.6813
Chile,2017,207200.0,21968.7628
Czech Republic,2017,43527.0,26141.23
Denmark,2017,49046.0,45673.9793
Estonia,2017,9067.0,25899.8316
Finland,2017,23735.0,36660.7672
France,2017,245902.0,36620.9199
Germany,2017,1384018.0,39204.8742
Greece,2017,80504.0,22588.1607
Hungary,2017,36453.0,19841.1472
Iceland,2017,11758.0,49539.5735
Ireland,2017,57200.0,40106.6691
Israel,2017,26357.0,39999.4946
Italy,2017,301071.0,29611.9262
Japan,2017,474996.0,29562.8839
Korea,2017,452657.0,28141.5495
Latvia,2017,5136.0,20217.3961
Luxembourg,2017,23147.0,101457.3914
Mexico,2017,32778.0,18419.1513
Netherlands,2017,183856.0,45152.8475
New Zealand,2017,105275.0,34906.5726
Norway,2017,49774.0,54952.64599999999
Poland,2017,127997.0,23164.3513
Portugal,2017,61413.0,24545.9644
Slovak Republic,2017,2911.0,0.0
Slovenia,2017,15520.0,26499.5455
Spain,2017,454424.0,30357.9631
Sweden,2017,124976.0,42996.7501
Switzerland,2017,137803.0,48424.2746
Turkey,2017,364561.0,26026.9693
United Kingdom,2017,520000.0,34295.8162
United States,2017,1127167.0,52149.0454
Australia,2018,186640.0,38924.9768
Austria,2018,131724.0,41744.6586
Belgium,2018,116768.0,40144.2864
Canada,2018,321045.0,38894.9879
Chile,2018,339350.0,22253.9001
Czech Republic,2018,55872.0,27287.8804
Denmark,2018,45267.0,46573.72
Estonia,2018,9711.0,27387.4042
Finland,2018,23146.0,37185.0004
France,2018,248916.0,36878.782999999996
Germany,2018,1383580.0,39650.0437
Greece,2018,87290.0,22996.054
Hungary,2018,49312.0,20965.0228
Iceland,2018,11537.0,51121.4373
Ireland,2018,61900.0,41714.7331
Israel,2018,28099.0,40960.2321
Italy,2018,285500.0,30003.2012
Japan,2018,519683.0,29852.8121
Korea,2018,495079.0,28666.1372
Latvia,2018,6563.0,21440.1452
Luxembourg,2018,23317.0,94914.8626
Mexico,2018,38675.0,18500.9086
Netherlands,2018,191005.0,46174.4958
New Zealand,2018,111798.0,35358.3933
Norway,2018,44406.0,55245.17
Poland,2018,137588.0,24340.0958
Portugal,2018,93154.0,25135.5856
Slovak Republic,2018,2869.0,0.0
Slovenia,2018,24101.0,27724.0306
Spain,2018,559998.0,31118.0944
Sweden,2018,114431.0,43601.9774
Switzerland,2018,140087.0,50132.5638
Turkey,2018,466890.0,25788.3689
United Kingdom,2018,486452.0,34516.4781
United States,2018,1096611.0,52501.0794
Australia,2019,155817.0,39073.6571
Austria,2019,0.0,42114.3093
Belgium,2019,0.0,40261.5511
Canada,2019,0.0,39051.481
Chile,2019,254080.0,22251.7171
Czech Republic,2019,63340.0,27716.9897
Denmark,2019,0.0,47461.6209
Estonia,2019,0.0,28307.4187
Finland,2019,0.0,37759.2477
France,2019,0.0,37248.8512
Germany,2019,0.0,40110.0458
Greece,2019,0.0,23766.1933
Hungary,2019,0.0,21852.4944
Iceland,2019,0.0,50717.97
Ireland,2019,0.0,43237.4222
Israel,2019,0.0,41673.0928
Italy,2019,261030.0,30055.93
Japan,2019,0.0,30208.8071
Korea,2019,0.0,28631.7196
Latvia,2019,6645.0,22223.0935
Luxembourg,2019,0.0,94987.2184
Mexico,2019,0.0,18254.9007
Netherlands,2019,0.0,46331.2192
New Zealand,2019,0.0,35698.0176
Norway,2019,44570.0,55314.5922
Poland,2019,0.0,25332.0597
Portugal,2019,0.0,25840.7074
Slovak Republic,2019,2486.0,0.0
Slovenia,2019,0.0,28643.3972
Spain,2019,0.0,31762.5336
Sweden,2019,0.0,44188.6009
Switzerland,2019,0.0,50813.9226
Turkey,2019,578488.0,24948.4762
United Kingdom,2019,0.0,34874.3081
United States,2019,0.0,53263.6659
