Country,net migration/1000 inhabitants
Australia,6.4
Austria,7.4
Belgium,4.2
Canada,6.6
Chile,6
Czech Republic,2.1
Denmark,2.6
Estonia,3
Finland,2.5
France,0.6
Germany,6.6
Greece,-1.5
Hungary,3.02
Iceland,1.1
Ireland,-30.52
Israel,1.2
Italy,2.5
Japan,0.6
Korea,0.2
Latvia,-7.6
Luxembourg,16.3
Mexico,-0.5
Netherlands,0.9
New Zealand,3.2
Norway,5.3
Poland,-0.8
Portugal,-0.6
Slovakia,0.3
Slovenia,1
Spain,0.9
Sweden,4
Switzerland,6.1
Turkey,3.5
United Kingdom,14.13
United States,2.9