Date,Open,High,Low,Close,Adj Close,Volume,Index_Name
12/24/20,12791.54004,12833.54981,12767.63965,12804.73047,12804.73047,3305950000,NASDAQ
12/28/20,12914.63965,12930.88965,12827.4502,12899.41992,12899.41992,5076340000,NASDAQ
12/29/20,12965.38965,12973.33008,12821.95996,12850.21973,12850.21973,4680780000,NASDAQ
12/30/20,12906.50977,12924.92969,12857.75977,12870,12870,5292210000,NASDAQ
12/31/20,12877.08984,12902.07031,12821.23047,12888.28027,12888.28027,4771390000,NASDAQ
1/2/20,28638.9707,28872.80078,28627.76953,28868.80078,28868.80078,2518200,Dow30
1/3/20,28553.33008,28716.31055,28500.35938,28634.88086,28634.88086,2395900,Dow30
1/6/20,28465.5,28708.01953,28418.63086,28703.38086,28703.38086,2527600,Dow30
1/7/20,28639.17969,28685.5,28565.2793,28583.67969,28583.67969,2589000,Dow30
1/8/20,28556.14063,28866.17969,28522.50977,28745.08984,28745.08984,2917500,Dow30
1/9/20,28851.9707,28988.00977,28844.31055,28956.90039,28956.90039,2750600,Dow30
1/10/20,28977.51953,29009.07031,28789.09961,28823.76953,28823.76953,2378300,Dow30
1/13/20,28869.00977,28909.91016,28819.42969,28907.05078,28907.05078,2498300,Dow30
1/14/20,28895.5,29054.16016,28872.26953,28939.66992,28939.66992,2874400,Dow30
1/15/20,28901.80078,29127.58984,28897.34961,29030.2207,29030.2207,2602700,Dow30
1/16/20,29131.94922,29300.32031,29131.94922,29297.64063,29297.64063,2521100,Dow30
1/17/20,29313.31055,29373.61914,29289.91016,29348.09961,29348.09961,3218200,Dow30
1/21/20,29269.05078,29341.21094,29146.4707,29196.03906,29196.03906,3206400,Dow30
1/22/20,29263.63086,29320.19922,29172.25977,29186.26953,29186.26953,2834400,Dow30
1/23/20,29111.01953,29190.4707,28966.98047,29160.08984,29160.08984,3070600,Dow30
1/24/20,29230.39063,29288.78906,28843.31055,28989.73047,28989.73047,3800100,Dow30
1/27/20,28542.49023,28671.78906,28440.4707,28535.80078,28535.80078,3372700,Dow30
1/28/20,28594.2793,28823.23047,28575.75,28722.84961,28722.84961,3301400,Dow30
1/29/20,28820.5293,28944.24023,28728.18945,28734.44922,28734.44922,3022900,Dow30
1/30/20,28640.16016,28879.71094,28489.75977,28859.43945,28859.43945,3268500,Dow30
1/31/20,28813.03906,28813.03906,28169.5293,28256.0293,28256.0293,4038900,Dow30
2/3/20,28319.65039,28630.39063,28319.65039,28399.81055,28399.81055,3079100,Dow30
2/4/20,28696.74023,28904.88086,28696.74023,28807.63086,28807.63086,3327500,Dow30
2/5/20,29048.73047,29308.89063,29000.84961,29290.84961,29290.84961,3575400,Dow30
2/6/20,29388.58008,29408.05078,29246.92969,29379.76953,29379.76953,2637000,Dow30
2/7/20,29286.91992,29286.91992,29056.98047,29102.50977,29102.50977,2528600,Dow30
2/10/20,28995.66016,29278.07031,28995.66016,29276.82031,29276.82031,2505100,Dow30
2/11/20,29390.71094,29415.39063,29210.4707,29276.33984,29276.33984,2795400,Dow30
2/12/20,29406.75,29568.57031,29406.75,29551.41992,29551.41992,3095300,Dow30
2/13/20,29436.0293,29535.40039,29345.92969,29423.31055,29423.31055,2911500,Dow30
2/14/20,29440.4707,29463.03906,29283.17969,29398.08008,29398.08008,2310000,Dow30
2/18/20,29282.7793,29330.16016,29116.81055,29232.18945,29232.18945,2566000,Dow30
2/19/20,29312.69922,29409.08984,29274.38086,29348.0293,29348.0293,2406400,Dow30
2/20/20,29296.25,29368.44922,28959.65039,29219.98047,29219.98047,2877800,Dow30
2/21/20,29146.5293,29146.5293,28892.69922,28992.41016,28992.41016,3112100,Dow30
2/24/20,28402.92969,28402.92969,27912.43945,27960.80078,27960.80078,4525800,Dow30
2/25/20,28037.65039,28149.19922,26997.61914,27081.35938,27081.35938,5132700,Dow30
2/26/20,27159.46094,27542.7793,26890.9707,26957.58984,26957.58984,4724500,Dow30
2/27/20,26526,26775.31055,25752.82031,25766.64063,25766.64063,6649800,Dow30
2/28/20,25270.83008,25494.24023,24681.00977,25409.35938,25409.35938,9159900,Dow30
3/2/20,25590.50977,26706.16992,25391.96094,26703.32031,26703.32031,6372000,Dow30
3/3/20,26762.4707,27084.58984,25706.2793,25917.41016,25917.41016,6470800,Dow30
3/4/20,26383.67969,27102.33984,26286.31055,27090.85938,27090.85938,4575900,Dow30
3/5/20,26671.91992,26671.91992,25943.33008,26121.2793,26121.2793,4773700,Dow30
3/6/20,25457.21094,25994.38086,25226.61914,25864.7793,25864.7793,5997800,Dow30
3/9/20,24992.35938,24992.35938,23706.07031,23851.01953,23851.01953,7504300,Dow30
3/10/20,24453,25020.99023,23690.33984,25018.16016,25018.16016,6548600,Dow30
3/11/20,24604.63086,24604.63086,23328.32031,23553.2207,23553.2207,6639600,Dow30
3/12/20,22184.71094,22837.94922,21154.46094,21200.61914,21200.61914,9082600,Dow30
3/13/20,21973.82031,23189.75977,21285.36914,23185.61914,23185.61914,8430800,Dow30
3/16/20,20917.5293,21768.2793,20116.46094,20188.51953,20188.51953,7701300,Dow30
3/17/20,20487.05078,21379.34961,19882.25977,21237.38086,21237.38086,7930600,Dow30
3/18/20,20188.68945,20489.33008,18917.46094,19898.91992,19898.91992,8713600,Dow30
3/19/20,19830.00977,20442.63086,19177.13086,20087.18945,20087.18945,7803000,Dow30
3/20/20,20253.15039,20531.25977,19094.26953,19173.98047,19173.98047,8722900,Dow30
3/23/20,19028.35938,19121.00977,18213.65039,18591.92969,18591.92969,7879700,Dow30
3/24/20,19722.18945,20737.69922,19649.25,20704.91016,20704.91016,7993400,Dow30
3/25/20,21050.33984,22019.92969,20538.33984,21200.55078,21200.55078,7963200,Dow30
3/26/20,21468.38086,22595.06055,21427.09961,22552.16992,22552.16992,7051800,Dow30
3/27/20,21898.4707,22327.57031,21469.26953,21636.7793,21636.7793,5888300,Dow30
3/30/20,21678.2207,22378.08984,21522.08008,22327.48047,22327.48047,5455400,Dow30
3/31/20,22208.41992,22480.36914,21852.08008,21917.16016,21917.16016,5712100,Dow30
4/1/20,21227.38086,21487.24023,20784.42969,20943.50977,20943.50977,5066800,Dow30
4/2/20,20819.46094,21477.76953,20735.01953,21413.43945,21413.43945,5295400,Dow30
4/3/20,21285.92969,21447.81055,20863.08984,21052.5293,21052.5293,4500100,Dow30
4/6/20,21693.63086,22783.44922,21693.63086,22679.99023,22679.99023,6107600,Dow30
4/7/20,23537.43945,23617.24023,22634.44922,22653.85938,22653.85938,5946600,Dow30
4/8/20,22893.4707,23513.40039,22682.99023,23433.57031,23433.57031,4727400,Dow30
4/9/20,23690.66016,24008.99023,23504.08984,23719.36914,23719.36914,5664000,Dow30
4/13/20,23698.92969,23698.92969,23095.34961,23390.76953,23390.76953,3943200,Dow30
4/14/20,23690.57031,24040.58008,23683.43945,23949.75977,23949.75977,4859100,Dow30
4/15/20,23600.7207,23649.7207,23233.32031,23504.34961,23504.34961,4376300,Dow30
4/16/20,23543.66016,23598.08008,23211.38086,23537.67969,23537.67969,4710500,Dow30
4/17/20,23817.15039,24264.21094,23817.15039,24242.49023,24242.49023,5259500,Dow30
4/20/20,24095.09961,24108.68945,23627.18945,23650.43945,23650.43945,4234100,Dow30
4/21/20,23365.25,23365.25,22941.88086,23018.88086,23018.88086,4851400,Dow30
4/22/20,23437.33984,23613.09961,23339.59961,23475.82031,23475.82031,3528800,Dow30
4/23/20,23543.08984,23885.35938,23483.34961,23515.25977,23515.25977,3892900,Dow30
4/24/20,23628.24023,23826,23417.67969,23775.26953,23775.26953,3760200,Dow30
4/27/20,23866.15039,24207.65039,23840.60938,24133.7793,24133.7793,3893900,Dow30
4/28/20,24357.16992,24512.24023,24031.19922,24101.55078,24101.55078,4002500,Dow30
4/29/20,24490.36914,24764.76953,24453.99023,24633.85938,24633.85938,4552900,Dow30
4/30/20,24585.57031,24585.57031,24186.90039,24345.7207,24345.7207,4878400,Dow30
5/1/20,24120.7793,24120.7793,23645.30078,23723.68945,23723.68945,4181600,Dow30
5/4/20,23581.55078,23769.56055,23361.16016,23749.75977,23749.75977,3553600,Dow30
5/5/20,23958.88086,24169.7207,23868.91016,23883.08984,23883.08984,3697100,Dow30
5/6/20,23978.88086,24054.58984,23661.14063,23664.64063,23664.64063,3774500,Dow30
5/7/20,23837.21094,24094.61914,23834.39063,23875.89063,23875.89063,3698900,Dow30
5/8/20,24107.82031,24349.90039,24107.05078,24331.32031,24331.32031,3357600,Dow30
5/11/20,24256.44922,24366.21094,24070.2207,24221.99023,24221.99023,3524000,Dow30
5/12/20,24292.83984,24382.08984,23761.58008,23764.7793,23764.7793,3594800,Dow30
5/13/20,23702.16016,23708.90039,23067.64063,23247.9707,23247.9707,4699500,Dow30
5/14/20,23049.06055,23630.85938,22789.61914,23625.33984,23625.33984,4727000,Dow30
5/15/20,23454.83008,23730.08008,23354.15039,23685.41992,23685.41992,4915100,Dow30
5/18/20,24059.98047,24708.53906,24059.98047,24597.36914,24597.36914,4841900,Dow30
5/19/20,24577.48047,24599.5,24202.96094,24206.85938,24206.85938,3741000,Dow30
5/20/20,24455.93945,24649.48047,24455.93945,24575.90039,24575.90039,3665100,Dow30
5/21/20,24564.26953,24718.46094,24370.88086,24474.11914,24474.11914,3467700,Dow30
5/22/20,24461.98047,24481.64063,24294.07031,24465.16016,24465.16016,2556600,Dow30
5/26/20,24781.83984,25176.41992,24781.83984,24995.10938,24995.10938,4243800,Dow30
5/27/20,25298.63086,25551.56055,25009.86914,25548.26953,25548.26953,4112300,Dow30
5/28/20,25697.35938,25758.78906,25358.73047,25400.64063,25400.64063,3778000,Dow30
5/29/20,25324.15039,25482.80078,25031.66992,25383.10938,25383.10938,5276200,Dow30
6/1/20,25342.99023,25508.83008,25220.66016,25475.01953,25475.01953,3383100,Dow30
6/2/20,25582.51953,25743.13086,25523.74023,25742.65039,25742.65039,3526100,Dow30
6/3/20,25906.88086,26337.75,25906.88086,26269.89063,26269.89063,3987900,Dow30
6/4/20,26226.49023,26384.09961,26082.31055,26281.82031,26281.82031,3721900,Dow30
6/5/20,26836.80078,27338.30078,26836.80078,27110.98047,27110.98047,5423100,Dow30
6/8/20,27232.92969,27580.21094,27232.48047,27572.43945,27572.43945,4302000,Dow30
6/9/20,27447.36914,27447.36914,27151.06055,27272.30078,27272.30078,3814300,Dow30
6/10/20,27251.89063,27355.2207,26938.05078,26989.99023,26989.99023,4489300,Dow30
6/11/20,26282.50977,26294.08008,25082.7207,25128.16992,25128.16992,6477800,Dow30
6/12/20,25659.41992,25965.55078,25078.41016,25605.53906,25605.53906,5144400,Dow30
6/15/20,25270.39063,25891.58008,24843.17969,25763.16016,25763.16016,4612300,Dow30
6/16/20,26326.67969,26611.0293,25811.69922,26289.98047,26289.98047,4895000,Dow30
6/17/20,26330.51953,26400.07031,26068.41016,26119.60938,26119.60938,3288300,Dow30
6/18/20,26016.44922,26154.19922,25848.5293,26080.09961,26080.09961,3283900,Dow30
6/19/20,26213.09961,26451.43945,25759.66016,25871.46094,25871.46094,6693900,Dow30
6/22/20,25865.08008,26059.81055,25667.67969,26024.96094,26024.96094,3517800,Dow30
6/23/20,26159.39063,26314.9707,26105.9707,26156.09961,26156.09961,3899800,Dow30
6/24/20,25992.96094,25992.96094,25296.73047,25445.93945,25445.93945,4501200,Dow30
6/25/20,25365.2207,25769.60938,25209.78906,25745.59961,25745.59961,3845600,Dow30
6/26/20,25641.68945,25641.68945,24971.0293,25015.55078,25015.55078,6408600,Dow30
6/29/20,25152.44922,25601.15039,25096.16016,25595.80078,25595.80078,3780700,Dow30
6/30/20,25512.42969,25905.38086,25475.14063,25812.88086,25812.88086,4107800,Dow30
7/1/20,25879.38086,26019.31055,25713.60938,25734.9707,25734.9707,3731800,Dow30
7/2/20,25936.44922,26204.41016,25778.11914,25827.35938,25827.35938,3491300,Dow30
7/6/20,25996.08008,26297.5293,25996.08008,26287.0293,26287.0293,3406900,Dow30
7/7/20,26172.00977,26174.92969,25866.58008,25890.17969,25890.17969,3468200,Dow30
7/8/20,25950.06055,26109.49023,25816.25,26067.2793,26067.2793,3373000,Dow30
7/9/20,26094.91992,26103.2793,25523.50977,25706.08984,25706.08984,3876100,Dow30
7/10/20,25690.34961,26101.32031,25637.5,26075.30078,26075.30078,3381700,Dow30
7/13/20,26225.07031,26639.08984,26044.23047,26085.80078,26085.80078,4253200,Dow30
7/14/20,26044.16992,26690.51953,25994.98047,26642.58984,26642.58984,4016400,Dow30
7/15/20,27009.81055,27071.33008,26692.48047,26870.09961,26870.09961,3849000,Dow30
7/16/20,26746.57031,26879.16016,26590.00977,26734.71094,26734.71094,2873300,Dow30
7/17/20,26774.61914,26808.42969,26619.88086,26671.94922,26671.94922,2964600,Dow30
7/20/20,26660.28906,26765.01953,26504.19922,26680.86914,26680.86914,3093900,Dow30
7/21/20,26833.14063,27025.38086,26766.2207,26840.40039,26840.40039,3649300,Dow30
7/22/20,26824.56055,27035.24023,26794.18945,27005.83984,27005.83984,4043400,Dow30
7/23/20,26955.9707,26973.84961,26560.03906,26652.33008,26652.33008,4198000,Dow30
7/24/20,26533.41016,26625.69922,26402.85938,26469.89063,26469.89063,4941700,Dow30
7/27/20,26447.66992,26625.46094,26426.91992,26584.76953,26584.76953,4009300,Dow30
7/28/20,26529.44922,26556.83984,26361.71094,26379.2793,26379.2793,3610900,Dow30
7/29/20,26388.43945,26602.44922,26375.39063,26539.57031,26539.57031,3475800,Dow30
7/30/20,26367.41992,26374.92969,25992.2793,26313.65039,26313.65039,3515400,Dow30
7/31/20,26409.33008,26440.01953,26013.58984,26428.32031,26428.32031,4880500,Dow30
8/3/20,26542.32031,26707.25977,26534.38086,26664.40039,26664.40039,4393800,Dow30
8/4/20,26664.60938,26832.7207,26597.82031,26828.4707,26828.4707,3463500,Dow30
8/5/20,26924.7793,27221.66992,26924.7793,27201.51953,27201.51953,3660000,Dow30
8/6/20,27170.82031,27394.09961,27145.25,27386.98047,27386.98047,3224600,Dow30
8/7/20,27321.67969,27456.24023,27223.55078,27433.48047,27433.48047,3211700,Dow30
8/10/20,27488.21094,27803.85938,27488.21094,27791.43945,27791.43945,3603400,Dow30
8/11/20,27961.64063,28154.88086,27624.50977,27686.91016,27686.91016,4282200,Dow30
8/12/20,27860.24023,28043.89063,27843.32031,27976.83984,27976.83984,3402100,Dow30
8/13/20,27922.50977,27986.09961,27789.7793,27896.7207,27896.7207,3601600,Dow30
8/14/20,27828.92969,27977.81055,27759.39063,27931.01953,27931.01953,2755400,Dow30
8/17/20,27970.05078,27999.81055,27816.40039,27844.91016,27844.91016,2868600,Dow30
8/18/20,27853.48047,27891.11914,27668.78906,27778.07031,27778.07031,2761700,Dow30
8/19/20,27811.25977,27920.41992,27647.66992,27692.88086,27692.88086,3114600,Dow30
8/20/20,27622.67969,27781.46094,27526.25,27739.73047,27739.73047,3045500,Dow30
8/21/20,27758.13086,27959.48047,27686.7793,27930.33008,27930.33008,3727200,Dow30
8/24/20,28077.58008,28314.93945,28041.75,28308.46094,28308.46094,3838800,Dow30
8/25/20,28347.41992,28400.74023,28094.57031,28248.43945,28248.43945,3384200,Dow30
8/26/20,28257.88086,28353.80078,28153.91016,28331.91992,28331.91992,3270700,Dow30
8/27/20,28384.07031,28634.2207,28363.92969,28492.26953,28492.26953,4043400,Dow30
8/28/20,28601.28906,28733.34961,28487.98047,28653.86914,28653.86914,3697400,Dow30
8/31/20,28643.66016,28643.66016,28363.55078,28430.05078,28430.05078,5173200,Dow30
9/1/20,28439.60938,28659.25977,28290.7207,28645.66016,28645.66016,4234100,Dow30
9/2/20,28736.78906,29162.88086,28713.5293,29100.5,29100.5,5395100,Dow30
9/3/20,29090.69922,29199.34961,28074.75977,28292.73047,28292.73047,6500800,Dow30
9/4/20,28341.05078,28539.75,27664.67969,28133.31055,28133.31055,6946400,Dow30
9/8/20,27925.23047,27925.23047,27464.90039,27500.89063,27500.89063,5808600,Dow30
9/9/20,27711.71094,28206.21094,27704.53906,27940.4707,27940.4707,4605900,Dow30
9/10/20,28022.50977,28174.7793,27447.08008,27534.58008,27534.58008,4428500,Dow30
9/11/20,27613.85938,27828.82031,27448.15039,27665.64063,27665.64063,4353300,Dow30
9/14/20,27718.74023,28086.06055,27718.74023,27993.33008,27993.33008,3807500,Dow30
9/15/20,28139.75977,28231.06055,27931.44922,27995.59961,27995.59961,4145200,Dow30
9/16/20,28031.68945,28364.76953,28021.66992,28032.38086,28032.38086,4166500,Dow30
9/17/20,27834.17969,28056.78906,27647.92969,27901.98047,27901.98047,4372300,Dow30
9/18/20,27864.86914,27946.68945,27487.9707,27657.41992,27657.41992,6987100,Dow30
9/21/20,27484.71094,27484.71094,26715.15039,27147.69922,27147.69922,5236600,Dow30
9/22/20,27170.33984,27333.08984,26989.92969,27288.17969,27288.17969,4207200,Dow30
9/23/20,27413.59961,27464.46094,26716.11914,26763.13086,26763.13086,4594700,Dow30
9/24/20,26716.08984,27094.84961,26537.00977,26815.43945,26815.43945,4478100,Dow30
9/25/20,26694.50977,27239.28906,26635.38086,27173.96094,27173.96094,3889000,Dow30
9/28/20,27362.14063,27722.59961,27362.14063,27584.06055,27584.06055,4018600,Dow30
9/29/20,27560.24023,27605.59961,27338.08984,27452.66016,27452.66016,3038200,Dow30
9/30/20,27514.64063,28026.33008,27511.06055,27781.69922,27781.69922,4525500,Dow30
10/1/20,27940.63086,28041.46094,27669.25977,27816.90039,27816.90039,3734500,Dow30
10/2/20,27536.39063,27861.42969,27382.93945,27682.81055,27682.81055,3927700,Dow30
10/5/20,27825.41992,28162.64063,27825.41992,28148.64063,28148.64063,3182100,Dow30
10/6/20,28214.24023,28354.48047,27728.0293,27772.75977,27772.75977,4350300,Dow30
10/7/20,27971.35938,28369.66016,27971.35938,28303.46094,28303.46094,3287500,Dow30
10/8/20,28348.85938,28459.13086,28265.56055,28425.50977,28425.50977,3147500,Dow30
10/9/20,28533.60938,28676.28906,28440.63086,28586.90039,28586.90039,3240500,Dow30
10/12/20,28671.11914,28957.90039,28659.66992,28837.51953,28837.51953,4936800,Dow30
10/13/20,28764.94922,28808.83984,28604.34961,28679.81055,28679.81055,5261100,Dow30
10/14/20,28731.30078,28792.56055,28461.73047,28514,28514,3708000,Dow30
10/15/20,28323.40039,28535.84961,28181.53906,28494.19922,28494.19922,3289400,Dow30
10/16/20,28570.7207,28842.90039,28570.7207,28606.31055,28606.31055,3561400,Dow30
10/19/20,28633.55078,28711.92969,28139.40039,28195.41992,28195.41992,3587000,Dow30
10/20/20,28245.84961,28575.0293,28243.03906,28308.78906,28308.78906,3502200,Dow30
10/21/20,28270.66016,28450.64063,28196.39063,28210.82031,28210.82031,2994200,Dow30
10/22/20,28197.41992,28421.31055,28040.17969,28363.66016,28363.66016,3303200,Dow30
10/23/20,28409.65039,28436.51953,28149.82031,28335.57031,28335.57031,3473000,Dow30
10/26/20,28185.82031,28185.82031,27370.16016,27685.38086,27685.38086,4041500,Dow30
10/27/20,27651.17969,27707.68945,27457.96094,27463.18945,27463.18945,3664000,Dow30
10/28/20,27102.14063,27102.14063,26497.39063,26519.94922,26519.94922,4961500,Dow30
10/29/20,26480.98047,26891.89063,26290.7793,26659.10938,26659.10938,4197700,Dow30
10/30/20,26572.26953,26639.17969,26143.76953,26501.59961,26501.59961,5048200,Dow30
11/2/20,26691.2793,27043.48047,26691.2793,26925.05078,26925.05078,3799900,Dow30
11/3/20,27138.68945,27640.21094,27138.68945,27480.0293,27480.0293,3509800,Dow30
11/4/20,27512.83008,28301.5,27512.83008,27847.66016,27847.66016,4478600,Dow30
11/5/20,28083.36914,28495.05078,28083.36914,28390.17969,28390.17969,3901400,Dow30
11/6/20,28399.13086,28431.96094,28189.5,28323.40039,28323.40039,3267100,Dow30
11/9/20,29467.90039,29933.83008,29130.66016,29157.9707,29157.9707,6733100,Dow30
11/10/20,29254.16992,29478.85938,29126.99023,29420.91992,29420.91992,5269800,Dow30
11/11/20,29524.34961,29593.10938,29281.2207,29397.63086,29397.63086,3767000,Dow30
11/12/20,29231.91016,29311.83008,28902.13086,29080.16992,29080.16992,3693200,Dow30
11/13/20,29203.90039,29559.25,29203.90039,29479.81055,29479.81055,3488100,Dow30
11/16/20,29672.35938,29964.28906,29672.35938,29950.43945,29950.43945,4182900,Dow30
11/17/20,29800.15039,29872.41992,29520.28906,29783.34961,29783.34961,3723800,Dow30
11/18/20,29875.40039,29930.84961,29432.83984,29438.41992,29438.41992,3828500,Dow30
11/19/20,29370.91992,29524.90039,29228.38086,29483.23047,29483.23047,3313300,Dow30
11/20/20,29437.57031,29469.89063,29231.19922,29263.48047,29263.48047,3053500,Dow30
11/23/20,29332.82031,29667.75,29332.82031,29591.26953,29591.26953,3872000,Dow30
11/24/20,29746.10938,30116.50977,29746.10938,30046.24023,30046.24023,4327600,Dow30
11/25/20,30058.86914,30058.86914,29806.25,29872.4707,29872.4707,3230300,Dow30
11/27/20,29911.33008,30015.13086,29819.98047,29910.36914,29910.36914,1770400,Dow30
11/30/20,29854.50977,29854.50977,29463.64063,29638.64063,29638.64063,5513500,Dow30
12/1/20,29797.5,30083.31055,29797.5,29823.91992,29823.91992,4295100,Dow30
12/2/20,29695.08984,29902.50977,29599.28906,29883.78906,29883.78906,3852800,Dow30
12/3/20,29920.83008,30110.88086,29877.26953,29969.51953,29969.51953,4056800,Dow30
12/4/20,29989.56055,30218.25977,29989.56055,30218.25977,30218.25977,3565900,Dow30
12/7/20,30233.0293,30233.0293,29967.2207,30069.78906,30069.78906,3658100,Dow30
12/8/20,29997.94922,30246.2207,29972.07031,30173.88086,30173.88086,3111900,Dow30
12/9/20,30229.81055,30319.69922,29951.84961,30068.81055,30068.81055,3805200,Dow30
12/10/20,30032.55078,30063.86914,29876.82031,29999.25977,29999.25977,3255500,Dow30
12/11/20,29988.21094,30071.13086,29820.83984,30046.36914,30046.36914,3938700,Dow30
12/14/20,30123.91016,30325.78906,29849.15039,29861.55078,29861.55078,3719800,Dow30
12/15/20,29919.08984,30243.25977,29894.94922,30199.31055,30199.31055,4177700,Dow30
12/16/20,30191.38086,30236.0293,30080.10938,30154.53906,30154.53906,3445900,Dow30
12/17/20,30216,30323.7793,30216,30303.36914,30303.36914,3455300,Dow30
12/18/20,30314.25977,30343.58984,30029.43945,30179.05078,30179.05078,7820700,Dow30
12/21/20,30159,30304.14063,29755.5293,30216.44922,30216.44922,4374800,Dow30
12/22/20,30200.19922,30200.19922,29992.89063,30015.50977,30015.50977,3888100,Dow30
12/23/20,30046.73047,30292.5293,30046.73047,30129.83008,30129.83008,2740500,Dow30
12/24/20,30155.91992,30209.66992,30099.30078,30199.86914,30199.86914,1455700,Dow30
12/28/20,30283.23047,30525.56055,30283.23047,30403.9707,30403.9707,3024900,Dow30
12/29/20,30492.07031,30588.78906,30274.24023,30335.66992,30335.66992,3576100,Dow30
12/30/20,30415.08984,30525.34961,30393.03906,30409.56055,30409.56055,2918900,Dow30
12/31/20,30417.64063,30637.4707,30344.5,30606.48047,30606.48047,2844700,Dow30
1/2/20,3244.669922,3258.139893,3235.530029,3257.850098,3257.850098,3458250000,S&P500
1/3/20,3226.360107,3246.149902,3222.340088,3234.850098,3234.850098,3461290000,S&P500
